"Source:","/Users/mick/src/github.com/codinggrace/alt-controller-jam/kikad-tutorial/kikad-tutorial.kicad_sch"
"Date:","2023 September 10, Sunday 20:28:30"
"Tool:","Eeschema 7.0.7"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","3"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"BT1","1","Battery_Cell","Battery_Cell","Battery:BatteryHolder_Bulgin_BX0036_1xC","Single-cell battery","",""
"D1","1","LED","LED","LED_SMD:LED_Cree-XH","Light emitting diode","",""
"R1","1","R_US","R_US","OptoDevice:R_LDR_4.9x4.2mm_P2.54mm_Vertical","Resistor, US symbol","",""
